attack,attack_class,attack_detail
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,smurf
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,teardrop
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,smurf
0,normal,normal
1,dos,smurf
0,normal,normal
1,dos,back
1,dos,back
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
1,dos,smurf
1,probing,nmap
0,normal,normal
0,normal,normal
1,r2l,warezclient
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
1,probing,portsweep
1,dos,neptune
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,teardrop
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,teardrop
1,probing,nmap
0,normal,normal
1,probing,portsweep
1,probing,nmap
0,normal,normal
1,dos,neptune
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,nmap
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,smurf
1,dos,neptune
1,dos,neptune
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
1,dos,neptune
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
1,probing,ipsweep
1,dos,smurf
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
1,dos,neptune
1,probing,ipsweep
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,teardrop
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,smurf
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
1,probing,nmap
0,normal,normal
1,probing,satan
1,dos,smurf
0,normal,normal
0,normal,normal
1,probing,portsweep
1,dos,neptune
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,nmap
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,smurf
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
1,probing,satan
0,normal,normal
1,probing,nmap
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,r2l,warezclient
1,dos,teardrop
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,smurf
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
1,probing,ipsweep
1,probing,satan
1,probing,ipsweep
1,probing,nmap
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
1,dos,smurf
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,pod
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
1,dos,smurf
1,r2l,warezclient
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
1,dos,back
0,normal,normal
0,normal,normal
1,r2l,warezclient
1,probing,ipsweep
0,normal,normal
1,dos,neptune
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
1,dos,smurf
0,normal,normal
1,probing,satan
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,back
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
1,dos,teardrop
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
1,dos,teardrop
1,dos,smurf
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
1,dos,teardrop
1,dos,neptune
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,teardrop
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,smurf
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
1,dos,neptune
1,probing,portsweep
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
1,probing,portsweep
1,dos,neptune
0,normal,normal
1,dos,back
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,nmap
0,normal,normal
1,dos,neptune
0,normal,normal
1,probing,satan
1,probing,nmap
0,normal,normal
0,normal,normal
1,dos,smurf
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
1,dos,smurf
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,nmap
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
1,dos,neptune
1,dos,neptune
1,dos,smurf
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
1,r2l,warezclient
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
1,dos,smurf
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
1,dos,neptune
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,r2l,warezclient
0,normal,normal
1,probing,satan
0,normal,normal
1,probing,nmap
0,normal,normal
1,dos,neptune
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,smurf
1,dos,smurf
0,normal,normal
0,normal,normal
1,probing,portsweep
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
1,dos,smurf
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
1,probing,nmap
0,normal,normal
1,probing,satan
0,normal,normal
1,probing,ipsweep
1,probing,satan
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
1,dos,smurf
1,dos,teardrop
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
1,probing,ipsweep
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
1,dos,smurf
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,smurf
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
1,probing,portsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
1,dos,back
0,normal,normal
0,normal,normal
1,dos,teardrop
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
1,probing,nmap
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,nmap
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
1,probing,satan
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,back
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,smurf
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
1,probing,nmap
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
1,dos,neptune
1,probing,ipsweep
1,dos,smurf
0,normal,normal
1,dos,back
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,teardrop
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
1,probing,nmap
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,smurf
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
1,dos,teardrop
1,probing,portsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,smurf
1,dos,pod
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
1,r2l,warezclient
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
1,dos,smurf
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
1,probing,portsweep
0,normal,normal
0,normal,normal
1,dos,back
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
1,probing,nmap
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
1,probing,portsweep
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
1,probing,portsweep
0,normal,normal
1,dos,back
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,nmap
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,neptune
0,normal,normal
0,normal,normal
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,nmap
1,probing,ipsweep
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,ipsweep
1,dos,back
0,normal,normal
0,normal,normal
0,normal,normal
1,dos,smurf
0,normal,normal
0,normal,normal
1,dos,back
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
0,normal,normal
1,probing,satan
0,normal,normal
0,normal,normal
